Points Scored,Possessions,FGM,FGA,FG%,eFG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,3P Rate,FT Rate,Total OReb,Total DReb,Total Reb,DReb%,Oreb%,Fouls,Assists,Turnovers,Assist/Turnover Ratio,Steals,Blocks,Points off Turnovers,Second Chance Points,Second Chance Points per OReb,Points in Paint,Points in Paint Rate,Fast Break Points,Fast Break Points Rate,Bench Points,Bench Points Rate,Opposing Points,Op. Possessions,Op. FGM,Op. FGA,Op. FG%,Op. eFG%,Op. 3FGM,Op. 3FGA,Op. 3FG%,Op. FTM,Op. FTA,Op. FT%,Op. 3P Rate,Op. FT Rate,Op. Total OReb,Op. Total DReb,Op. Total Reb,Op. DReb%,Op. Oreb%,Op. Fouls,Op. Assists,Op. Turnovers,Op. Assist/Turnover Ratio,Op. Steals,Op. Blocks,Op. Points off Turnovers,Op. Second Chance Points,Op. Second Chance Points per OReb,Op. Points in Paint,Op. Points in Paint Rate,Op. Fast Break Points,Op. Fast Break Points Rate,Op. Bench Points,Op. Bench Points Rate,Possessions Diff,FGM Diff,FGA Diff,FG% Diff,eFG% Diff,3FGM Diff,3FGA Diff,3FG% Diff,FTM Diff,FTA Diff,FT% Diff,3P Rate Diff,FT Rate Diff,Total OReb Diff,Total DReb Diff,Total Reb Diff,DReb% Diff,Oreb% Diff,Fouls Diff,Assists Diff,Turnovers Diff,Assist/Turnover Ratio Diff,Steals Diff,Blocks Diff,Points off Turnovers Diff,Second Chance Points Diff,Second Chance Points per OReb Diff,Points in Paint Diff,Points in Paint Rate Diff,Fast Break Points Diff,Fast Break Points Rate Diff,Bench Points Diff,Bench Points Rate Diff
60,70.72,23,61,0.38,0.42,5,16,0.31,9,13,0.69,0.262,0.213,11,27,38,0.69,0.28,21,5,15,0.33,6,5,6,10,0.91,28,0.467,2,0.033,34,0.567,69,71.12,24,61,0.39,0.42,3,10,0.3,18,23,0.78,0.164,0.377,12,29,41,0.72,0.31,12,9,12,0.75,10,2,20,8,0.67,36,0.522,9,0.13,8,0.116,-0.4,-1,0,-0.01,0.0,2,6,0.01,-9,-10,-0.09,0.098,-0.164,-1,-2,-3,-0.03,-0.03,9,-4,3,-0.42,-4,3,-14,2,0.24,-8,-0.055,-7,-0.097,26,0.451
69,71.12,24,61,0.39,0.42,3,10,0.3,18,23,0.78,0.164,0.377,12,29,41,0.72,0.31,12,9,12,0.75,10,2,20,8,0.67,36,0.522,9,0.13,8,0.116,60,70.72,23,61,0.38,0.42,5,16,0.31,9,13,0.69,0.262,0.213,11,27,38,0.69,0.28,21,5,15,0.33,6,5,6,10,0.91,28,0.467,2,0.033,34,0.567,-0.4,1,0,0.01,0.0,-2,-6,-0.01,9,10,0.09,-0.098,0.164,1,2,3,0.03,0.03,-9,4,-3,0.42,4,-3,14,-2,-0.24,8,0.055,7,0.097,-26,-0.451
74,75.0,24,70,0.34,0.41,10,26,0.38,16,25,0.64,0.371,0.357,18,19,37,0.53,0.35,8,14,12,1.17,11,6,25,22,1.22,26,0.351,7,0.095,16,0.216,70,76.08,29,63,0.46,0.53,9,22,0.41,3,7,0.43,0.349,0.111,17,33,50,0.65,0.47,20,18,27,0.67,7,4,6,9,0.53,32,0.457,10,0.143,28,0.4,-1.08,-5,7,-0.12,-0.12,1,4,-0.03,13,18,0.21,0.022,0.246,1,-14,-13,-0.12,-0.12,-12,-4,-15,0.5,4,2,19,13,0.69,-6,-0.106,-3,-0.048,-12,-0.184
70,76.08,29,63,0.46,0.53,9,22,0.41,3,7,0.43,0.349,0.111,17,33,50,0.65,0.47,20,18,27,0.67,7,4,6,9,0.53,32,0.457,10,0.143,28,0.4,74,75.0,24,70,0.34,0.41,10,26,0.38,16,25,0.64,0.371,0.357,18,19,37,0.53,0.35,8,14,12,1.17,11,6,25,22,1.22,26,0.351,7,0.095,16,0.216,-1.08,5,-7,0.12,0.12,-1,-4,0.03,-13,-18,-0.21,-0.022,-0.246,-1,14,13,0.12,0.12,12,4,15,-0.5,-4,-2,-19,-13,-0.69,6,0.106,3,0.048,12,0.184
69,73.8,22,57,0.39,0.46,8,22,0.36,17,20,0.85,0.386,0.351,10,26,36,0.84,0.28,25,11,18,0.61,9,1,10,6,0.6,24,0.348,11,0.159,25,0.362,85,74.08,28,53,0.53,0.59,7,18,0.39,22,32,0.69,0.34,0.604,5,26,31,0.72,0.16,14,23,12,1.92,8,3,24,2,0.4,38,0.447,33,0.388,14,0.165,-0.28,-6,4,-0.14,-0.13,1,4,-0.03,-5,-12,0.16,0.046,-0.253,5,0,5,0.12,0.12,11,-12,6,-1.31,1,-2,-14,4,0.2,-14,-0.099,-22,-0.229,11,0.197
85,74.08,28,53,0.53,0.59,7,18,0.39,22,32,0.69,0.34,0.604,5,26,31,0.72,0.16,14,23,12,1.92,8,3,24,2,0.4,38,0.447,33,0.388,14,0.165,69,73.8,22,57,0.39,0.46,8,22,0.36,17,20,0.85,0.386,0.351,10,26,36,0.84,0.28,25,11,18,0.61,9,1,10,6,0.6,24,0.348,11,0.159,25,0.362,-0.28,6,-4,0.14,0.13,-1,-4,0.03,5,12,-0.16,-0.046,0.253,-5,0,-5,-0.12,-0.12,-11,12,-6,1.31,-1,2,14,-4,-0.2,14,0.099,22,0.229,-11,-0.197
82,83.92,29,73,0.4,0.45,8,25,0.32,16,18,0.89,0.342,0.247,14,27,41,0.73,0.31,16,17,17,1.0,6,1,22,15,1.07,36,0.439,20,0.244,4,0.049,78,83.12,31,64,0.48,0.51,3,13,0.23,13,23,0.57,0.203,0.359,10,31,41,0.69,0.27,19,20,19,1.05,9,3,21,9,0.9,48,0.615,6,0.077,6,0.077,0.8,-2,9,-0.08,-0.06,5,12,0.09,3,-5,0.32,0.139,-0.112,4,-4,0,0.04,0.04,-3,-3,-2,-0.05,-3,-2,1,6,0.17,-12,-0.176,14,0.167,-2,-0.028
78,83.12,31,64,0.48,0.51,3,13,0.23,13,23,0.57,0.203,0.359,10,31,41,0.69,0.27,19,20,19,1.05,9,3,21,9,0.9,48,0.615,6,0.077,6,0.077,82,83.92,29,73,0.4,0.45,8,25,0.32,16,18,0.89,0.342,0.247,14,27,41,0.73,0.31,16,17,17,1.0,6,1,22,15,1.07,36,0.439,20,0.244,4,0.049,0.8,2,-9,0.08,0.06,-5,-12,-0.09,-3,5,-0.32,-0.139,0.112,-4,4,0,-0.04,-0.04,3,3,2,0.05,3,2,-1,-6,-0.17,12,0.176,-14,-0.167,2,0.028
63,66.72,25,74,0.34,0.37,5,23,0.22,8,13,0.62,0.311,0.176,25,21,46,0.68,0.51,13,11,12,0.92,9,6,30,23,0.92,26,0.413,5,0.079,23,0.365,50,65.28,18,50,0.36,0.39,3,6,0.5,11,12,0.92,0.12,0.24,10,24,34,0.49,0.32,18,13,20,0.65,2,2,11,10,1.0,24,0.48,8,0.16,12,0.24,1.44,7,24,-0.02,-0.02,2,17,-0.28,-3,1,-0.3,0.191,-0.064,15,-3,12,0.19,0.19,-5,-2,-8,0.27,7,4,19,13,-0.08,2,-0.067,-3,-0.081,11,0.125
50,65.28,18,50,0.36,0.39,3,6,0.5,11,12,0.92,0.12,0.24,10,24,34,0.49,0.32,18,13,20,0.65,2,2,11,10,1.0,24,0.48,8,0.16,12,0.24,63,66.72,25,74,0.34,0.37,5,23,0.22,8,13,0.62,0.311,0.176,25,21,46,0.68,0.51,13,11,12,0.92,9,6,30,23,0.92,26,0.413,5,0.079,23,0.365,1.44,-7,-24,0.02,0.02,-2,-17,0.28,3,-1,0.3,-0.191,0.064,-15,3,-12,-0.19,-0.19,5,2,8,-0.27,-7,-4,-19,-13,0.08,-2,0.067,3,0.081,-11,-0.125
